"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2020-21","613","Brantley County","1050","Brantley County High School","All Students","Essay Reading Score - New",1509133,7920,"25","25",5,"5","5"
"2020-21","613","Brantley County","1050","Brantley County High School","All Students","Essay Total",1509133,7920,"25","25",14,"14","14"
"2020-21","613","Brantley County","1050","Brantley County High School","All Students","Essay Writing Score - New",1509133,7920,"25","25",5,"5","5"
"2020-21","613","Brantley County","1050","Brantley County High School","All Students","Math Section Score - New",687305,26246,"32","32",539,"533","533"
"2020-21","613","Brantley County","1050","Brantley County High School","All Students","Reading Test  Score - New",687305,26245,"32","32",279,"293","293"
"2020-21","613","Brantley County","1050","Brantley County High School","All Students","WritLang Test  Score - New",687305,26245,"32","32",277,"283","283"
"2020-21","614","Brooks County","0110","Brooks County High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"27","27",1094,"925","925"
"2020-21","614","Brooks County","0110","Brooks County High School","All Students","Essay Analysis Score - New",1509133,7921,"TFS","TFS",4,"TFS","TFS"
"2020-21","614","Brooks County","0110","Brooks County High School","All Students","Essay Reading Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","614","Brooks County","0110","Brooks County High School","All Students","Essay Total",1509133,7920,"TFS","TFS",14,"TFS","TFS"
"2020-21","614","Brooks County","0110","Brooks County High School","All Students","Essay Writing Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","614","Brooks County","0110","Brooks County High School","All Students","Math Section Score - New",687305,26246,"27","27",539,"458","458"
"2020-21","614","Brooks County","0110","Brooks County High School","All Students","Reading Test  Score - New",687305,26245,"27","27",279,"235","235"
"2020-21","614","Brooks County","0110","Brooks County High School","All Students","WritLang Test  Score - New",687305,26245,"27","27",277,"232","232"
"2020-21","615","Bryan County","0182","Richmond Hill High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"211","185",1094,"1095","1109"
"2020-21","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Analysis Score - New",1509133,7921,"69","67",4,"4","4"
"2020-21","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Reading Score - New",1509133,7920,"69","67",5,"5","5"
"2020-21","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Total",1509133,7920,"69","67",14,"14","14"
"2020-21","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Writing Score - New",1509133,7920,"69","67",5,"6","6"
"2020-21","615","Bryan County","0182","Richmond Hill High School","All Students","Math Section Score - New",687305,26246,"211","185",539,"535","542"
"2020-21","615","Bryan County","0182","Richmond Hill High School","All Students","Reading Test  Score - New",687305,26245,"211","185",279,"284","287"
"2020-21","615","Bryan County","0182","Richmond Hill High School","All Students","WritLang Test  Score - New",687305,26245,"211","185",277,"276","280"
"2020-21","615","Bryan County","0502","Bryan County High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"211","26",1094,"1095","994"
"2020-21","615","Bryan County","0502","Bryan County High School","All Students","Essay Analysis Score - New",1509133,7921,"69","TFS",4,"4","TFS"
"2020-21","615","Bryan County","0502","Bryan County High School","All Students","Essay Reading Score - New",1509133,7920,"69","TFS",5,"5","TFS"
"2020-21","615","Bryan County","0502","Bryan County High School","All Students","Essay Total",1509133,7920,"69","TFS",14,"14","TFS"
"2020-21","615","Bryan County","0502","Bryan County High School","All Students","Essay Writing Score - New",1509133,7920,"69","TFS",5,"6","TFS"
"2020-21","615","Bryan County","0502","Bryan County High School","All Students","Math Section Score - New",687305,26246,"211","26",539,"535","481"
"2020-21","615","Bryan County","0502","Bryan County High School","All Students","Reading Test  Score - New",687305,26245,"211","26",279,"284","260"
"2020-21","615","Bryan County","0502","Bryan County High School","All Students","WritLang Test  Score - New",687305,26245,"211","26",277,"276","253"
"2020-21","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"71","45",1094,"1100","1106"
"2020-21","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Essay Analysis Score - New",1509133,7921,"19","11",4,"4","3"
"2020-21","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Essay Reading Score - New",1509133,7920,"19","11",5,"5","5"
"2020-21","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Essay Total",1509133,7920,"19","11",14,"14","14"
"2020-21","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Essay Writing Score - New",1509133,7920,"19","11",5,"5","5"
"2020-21","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Math Section Score - New",687305,26246,"71","45",539,"541","545"
"2020-21","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Reading Test  Score - New",687305,26245,"71","45",279,"285","286"
