LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2018-19,614,Brooks County,110,Brooks County High School,All Students,Essay Analysis Score - New,1747071,19599,TFS,TFS,3,,
2018-19,614,Brooks County,110,Brooks County High School,All Students,Essay Reading Score - New,1747071,19599,TFS,TFS,5,,
2018-19,614,Brooks County,110,Brooks County High School,All Students,Essay Total,1747071,19599,TFS,TFS,13,,
2018-19,614,Brooks County,110,Brooks County High School,All Students,Essay Writing Score - New,1747071,19599,TFS,TFS,5,,
2018-19,614,Brooks County,110,Brooks County High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,33,33,523,482,482
2018-19,614,Brooks County,110,Brooks County High School,All Students,Math Section Score - New,2220087,49344,33,33,504,465,465
2018-19,614,Brooks County,110,Brooks County High School,All Students,Reading Test  Score - New,2220087,49344,33,33,264,243,243
2018-19,614,Brooks County,110,Brooks County High School,All Students,WritLang Test  Score - New,2220087,49344,33,33,259,239,239
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Combined Test Score,2220087,49344,318,291,1027,1063,1069
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Essay Analysis Score - New,1747071,19599,128,116,3,3,3
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Essay Reading Score - New,1747071,19599,128,116,5,5,5
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Essay Total,1747071,19599,128,116,13,13,13
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Essay Writing Score - New,1747071,19599,128,116,5,5,5
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,318,291,523,542,547
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Math Section Score - New,2220087,49344,318,291,504,520,523
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,Reading Test  Score - New,2220087,49344,318,291,264,275,277
2018-19,615,Bryan County,182,Richmond Hill High School,All Students,WritLang Test  Score - New,2220087,49344,318,291,259,267,269
2018-19,615,Bryan County,502,Bryan County High School,All Students,Combined Test Score,2220087,49344,318,27,1027,1063,989
2018-19,615,Bryan County,502,Bryan County High School,All Students,Essay Analysis Score - New,1747071,19599,128,12,3,3,3
2018-19,615,Bryan County,502,Bryan County High School,All Students,Essay Reading Score - New,1747071,19599,128,12,5,5,4
2018-19,615,Bryan County,502,Bryan County High School,All Students,Essay Total,1747071,19599,128,12,13,13,11
2018-19,615,Bryan County,502,Bryan County High School,All Students,Essay Writing Score - New,1747071,19599,128,12,5,5,4
2018-19,615,Bryan County,502,Bryan County High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,318,27,523,542,496
2018-19,615,Bryan County,502,Bryan County High School,All Students,Math Section Score - New,2220087,49344,318,27,504,520,493
2018-19,615,Bryan County,502,Bryan County High School,All Students,Reading Test  Score - New,2220087,49344,318,27,264,275,248
2018-19,615,Bryan County,502,Bryan County High School,All Students,WritLang Test  Score - New,2220087,49344,318,27,259,267,248
2018-19,616,Bulloch County,203,Southeast Bulloch High School,All Students,Combined Test Score,2220087,49344,168,58,1027,1043,1063
2018-19,616,Bulloch County,203,Southeast Bulloch High School,All Students,Essay Analysis Score - New,1747071,19599,64,22,3,3,3
2018-19,616,Bulloch County,203,Southeast Bulloch High School,All Students,Essay Reading Score - New,1747071,19599,64,22,5,5,4
