SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,TOTAL_Grad_Rate,PERCENT_Grad_Rate,TOTAL_COUNT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Lottery_Revenues_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE,Federal_Revenues_Dollars per FTE,General Administration_Expenditures_Dollars per FTE,Instruction_Expenditures_Dollars per FTE,Instructional Support_Expenditures_Dollars per FTE,Local_Revenues_Dollars per FTE,Maintenance and Operations_Expenditures_Dollars per FTE,Media_Expenditures_Dollars per FTE,Other_Revenues_Dollars per FTE,Pupil Services_Expenditures_Dollars per FTE,Renovation and Capital Projects_Expenditures_Dollars per FTE,School Administration_Expenditures_Dollars per FTE,School food Services_Expenditures_Dollars per FTE,State Lottery_Revenues_Dollars per FTE,State Other_Revenues_Dollars per FTE,State QBE_Revenues_Dollars per FTE,Transportation_Expenditures_Dollars per FTE,SAT Combined Score
676,Houston County,1924,89.61,2147,26.1139932,20.5,31897,62.6,31.4,6,6.7,1.1,31.26729386,48.73,0,52.71381196,129.7041389,6055.26373,358.5118441,2825.071844,757.0532567,132.0276791,0,459.465023,0,681.7673302,0,0,133.9986917,6413.266012,416.393795,0,56.97,140.17,6543.95,387.45,3053.07,818.15,142.68,0,496.55,0,736.79,0,0,144.81,6930.85,450,1045
677,Irwin County,118,93.65,126,40.72004966,17.6,1691,68.4,24.7,6.9,7,1.833333333,21.59284497,41.38,113.1805263,0,551.829113,6854.440071,420.5616381,2421.505671,914.636304,134.6966824,3.548196334,376.498285,0,575.7182259,11.80231815,0,287.0725843,7956.142519,472.4732525,117.7,0,573.89,7128.45,437.37,2518.31,951.2,140.08,3.69,391.55,0,598.73,12.27,0,298.55,8274.19,491.36,938
678,Jackson County,460,93.5,492,19.52440551,20.6,8478,60.3,33.4,6.3,6.5,0.8,48.70080964,46.02,0,0,280.4594279,6431.289988,605.7935563,4785.723422,808.2995942,139.5662291,24.83726469,269.0853515,0,564.2730054,3.354399623,0,158.1582142,5465.411536,719.8295211,0,0,291.53,6685.2,629.71,4974.66,840.21,145.08,25.82,279.71,0,586.55,3.49,0,164.4,5681.19,748.25,1038
679,Jasper County,157,94.58,166,34.38596491,18.2,2442,62.3,33,4.8,4.6,1.833333333,47.7739726,30.26,0,12.44405405,297.5132596,5976.303137,273.6421048,3916.522068,813.4948157,118.7967322,0,467.3012203,0,654.4903808,21.69830876,0,176.6619328,6320.076167,815.6241237,0,13.18,315.06,6328.77,289.78,4147.51,861.47,125.8,0,494.86,0,693.09,22.98,0,187.08,6692.81,863.73,958
680,Jeff Davis County,187,93.03,201,41.55393687,17.8,3053,59.9,32.6,7.5,14.6,1.833333333,31.16675546,59.89,0,0,366.316528,5605.101998,347.1257157,1933.883249,689.732604,149.1114052,0,439.8394333,0,507.2660793,8.596672126,0,189.2131346,7053.420242,617.5040288,0,0,378.08,5785.12,358.27,1995.99,711.88,153.9,0,453.97,0,523.56,8.87,0,195.29,7279.95,637.34,995
779,Jefferson City,288,99.31,290,8.90960891,22.7,4012,63.3,31.8,5,4.1,1.833333333,32.91113792,59.03,0,0,250.7066924,5917.018724,275.0176595,2855.00681,503.8566201,138.8720115,0,293.8575673,0,540.0775972,7.257559821,0,90.12600199,5269.843968,231.6913285,0,0,256.85,6062.07,281.76,2925,516.21,142.28,0,301.06,0,553.32,7.44,0,92.34,5399.03,237.37,1110
681,Jefferson County,179,90.4,198,51.20106762,19.41111111,2374,55.1,35,10,8.9,1.833333333,48.91428571,37.78,0,24.2890059,298.6562805,6716.797296,293.8115838,3554.272772,1043.48639,232.2855055,0,338.0074179,25.27379949,731.3786226,0,0,230.106011,7116.542965,638.5949663,0,25.64,315.26,7090.12,310.14,3751.82,1101.48,245.2,0,356.79,26.68,772.03,0,0,242.9,7512.08,674.09,890
682,Jenkins County,58,79.45,73,52.58701787,17.9,1121,57.9,34.1,8,6.8,1.833333333,19.213732,48.28,0,0,488.0196967,6752.738822,691.9788849,3604.023202,846.1603479,105.7778858,302.4503836,269.9996343,0,904.1008742,11.89122212,0,260.4098037,7525.704728,790.5055397,0,0,510.33,7061.4,723.61,3768.76,884.84,110.61,316.28,282.34,0,945.43,12.43,0,272.31,7869.7,826.64,953
683,Johnson County,84,90.32,93,49.95215311,17.2,1125,56.7,34.8,8.5,8.2,1.833333333,36.64812239,41.18,0,0,466.9113689,5884.860809,447.0649422,2356.365556,900.8888089,218.9893867,0,154.9344444,23.59441778,850.9781956,9.950542222,0,365.6434844,7599.848889,673.3115111,0,0,501.22,6317.24,479.91,2529.5,967.08,235.08,0,166.32,25.33,913.5,10.68,0,392.51,8158.23,722.78,932
684,Jones County,339,88.28,384,25.54293684,18.9,5278,61.5,30.8,7.8,7.5,2.2,27.65892884,45.48,0,20.08424593,192.0153391,6338.60608,361.1361444,2675.843715,860.3561993,142.8024612,6.032487685,301.0191114,0,644.6832569,7.697008336,0,243.5506423,7298.763736,539.6220576,0,20.93,200.09,6605.17,376.32,2788.37,896.54,148.81,6.29,313.68,0,671.79,8.02,0,253.79,7605.7,562.31,1031
